n1	t	n2
ls:fr:node:27936	ls:fr:lf:52	ls:fr:node:32005
ls:fr:node:27936	ls:fr:lf:52	ls:fr:node:35811
ls:fr:node:27936	ls:fr:lf:52	ls:fr:node:35812
ls:fr:node:27937	ls:fr:lf:111	ls:fr:node:36354
ls:fr:node:27937	ls:fr:lf:21	ls:fr:node:36356
ls:fr:node:27938	ls:fr:lf:387	ls:fr:node:34595
ls:fr:node:27939	ls:fr:lf:28	ls:fr:node:36366
ls:fr:node:27939	ls:fr:lf:31	ls:fr:node:36367
ls:fr:node:27939	ls:fr:lf:31	ls:fr:node:36369
ls:fr:node:27939	ls:fr:lf:5	ls:fr:node:31044
ls:fr:node:27939	ls:fr:lf:3	ls:fr:node:28514
ls:fr:node:27939	ls:fr:lf:13	ls:fr:node:53033
ls:fr:node:27940	ls:fr:lf:29	ls:fr:node:36376
ls:fr:node:27940	ls:fr:lf:5	ls:fr:node:54605
ls:fr:node:27941	ls:fr:lf:68	ls:fr:node:27939
ls:fr:node:27941	ls:fr:lf:3	ls:fr:node:29193
ls:fr:node:27942	ls:fr:lf:3	ls:fr:node:27504
ls:fr:node:27943	ls:fr:lf:3	ls:fr:node:29640
ls:fr:node:27943	ls:fr:lf:20	ls:fr:node:26518
ls:fr:node:27943	ls:fr:lf:20	ls:fr:node:56115
ls:fr:node:27944	ls:fr:lf:387	ls:fr:node:35580
ls:fr:node:27945	ls:fr:lf:366	ls:fr:node:36416
ls:fr:node:27945	ls:fr:lf:594	ls:fr:node:36417
ls:fr:node:27945	ls:fr:lf:594	ls:fr:node:36419
ls:fr:node:27945	ls:fr:lf:29	ls:fr:node:36421
ls:fr:node:27946	ls:fr:lf:3	ls:fr:node:28670
ls:fr:node:27947	ls:fr:lf:29	ls:fr:node:36432
ls:fr:node:27947	ls:fr:lf:10	ls:fr:node:48495
ls:fr:node:27947	ls:fr:lf:10	ls:fr:node:48497
ls:fr:node:27948	ls:fr:lf:4	ls:fr:node:28113
ls:fr:node:27949	ls:fr:lf:3	ls:fr:node:36233
ls:fr:node:27950	ls:fr:lf:3	ls:fr:node:26225
ls:fr:node:27951	ls:fr:lf:161	ls:fr:node:34995
ls:fr:node:27951	ls:fr:lf:2	ls:fr:node:28055
ls:fr:node:27952	ls:fr:lf:10	ls:fr:node:26932
ls:fr:node:27952	ls:fr:lf:594	ls:fr:node:35024
ls:fr:node:27952	ls:fr:lf:594	ls:fr:node:35032
ls:fr:node:27952	ls:fr:lf:366	ls:fr:node:48413
ls:fr:node:27953	ls:fr:lf:21	ls:fr:node:36152
ls:fr:node:27953	ls:fr:lf:330	ls:fr:node:36154
ls:fr:node:27953	ls:fr:lf:111	ls:fr:node:36156
ls:fr:node:27954	ls:fr:lf:21	ls:fr:node:53029
ls:fr:node:27955	ls:fr:lf:3	ls:fr:node:29680
ls:fr:node:27956	ls:fr:lf:43	ls:fr:node:36175
ls:fr:node:27956	ls:fr:lf:21	ls:fr:node:52144
ls:fr:node:27957	ls:fr:lf:20	ls:fr:node:39631
ls:fr:node:27957	ls:fr:lf:3	ls:fr:node:39940
ls:fr:node:27957	ls:fr:lf:3	ls:fr:node:40433
ls:fr:node:27957	ls:fr:lf:123	ls:fr:node:27758
ls:fr:node:27957	ls:fr:lf:208	ls:fr:node:26719
ls:fr:node:27957	ls:fr:lf:208	ls:fr:node:27227
ls:fr:node:27957	ls:fr:lf:208	ls:fr:node:29738
ls:fr:node:27957	ls:fr:lf:208	ls:fr:node:40439
ls:fr:node:27957	ls:fr:lf:607	ls:fr:node:40443
ls:fr:node:27957	ls:fr:lf:837	ls:fr:node:40437
ls:fr:node:27957	ls:fr:lf:837	ls:fr:node:28373
ls:fr:node:27957	ls:fr:lf:837	ls:fr:node:35895
ls:fr:node:27957	ls:fr:lf:63	ls:fr:node:47923
ls:fr:node:27957	ls:fr:lf:940	ls:fr:node:47924
ls:fr:node:27957	ls:fr:lf:315	ls:fr:node:28793
ls:fr:node:27957	ls:fr:lf:316	ls:fr:node:28792
ls:fr:node:27957	ls:fr:lf:102	ls:fr:node:39961
ls:fr:node:27958	ls:fr:lf:10	ls:fr:node:29367
ls:fr:node:27959	ls:fr:lf:21	ls:fr:node:36219
ls:fr:node:27959	ls:fr:lf:104	ls:fr:node:36220
ls:fr:node:27960	ls:fr:lf:387	ls:fr:node:35577
ls:fr:node:27960	ls:fr:lf:59	ls:fr:node:35578
ls:fr:node:27961	ls:fr:lf:21	ls:fr:node:36233
ls:fr:node:27961	ls:fr:lf:777	ls:fr:node:36234
ls:fr:node:27961	ls:fr:lf:428	ls:fr:node:36242
ls:fr:node:27961	ls:fr:lf:107	ls:fr:node:36241
ls:fr:node:27961	ls:fr:lf:109	ls:fr:node:36244
ls:fr:node:27961	ls:fr:lf:31	ls:fr:node:36248
ls:fr:node:27961	ls:fr:lf:31	ls:fr:node:36249
ls:fr:node:27961	ls:fr:lf:104	ls:fr:node:36250
ls:fr:node:27961	ls:fr:lf:3	ls:fr:node:50767
ls:fr:node:27962	ls:fr:lf:3	ls:fr:node:51129
ls:fr:node:27963	ls:fr:lf:342	ls:fr:node:36221
ls:fr:node:27963	ls:fr:lf:3	ls:fr:node:38108
ls:fr:node:27963	ls:fr:lf:29	ls:fr:node:36298
ls:fr:node:27964	ls:fr:lf:3	ls:fr:node:27993
ls:fr:node:27965	ls:fr:lf:387	ls:fr:node:34629
ls:fr:node:27965	ls:fr:lf:387	ls:fr:node:34635
ls:fr:node:27965	ls:fr:lf:40	ls:fr:node:32347
ls:fr:node:27965	ls:fr:lf:40	ls:fr:node:32348
ls:fr:node:27965	ls:fr:lf:2	ls:fr:node:34630
ls:fr:node:27965	ls:fr:lf:3	ls:fr:node:28213
ls:fr:node:27966	ls:fr:lf:28	ls:fr:node:36469
ls:fr:node:27967	ls:fr:lf:31	ls:fr:node:34829
ls:fr:node:27967	ls:fr:lf:31	ls:fr:node:34837
ls:fr:node:27967	ls:fr:lf:21	ls:fr:node:34843
ls:fr:node:27968	ls:fr:lf:28	ls:fr:node:36677
ls:fr:node:27968	ls:fr:lf:3	ls:fr:node:28605
ls:fr:node:27969	ls:fr:lf:29	ls:fr:node:36679
ls:fr:node:27970	ls:fr:lf:21	ls:fr:node:36135
ls:fr:node:27970	ls:fr:lf:28	ls:fr:node:36146
ls:fr:node:27970	ls:fr:lf:330	ls:fr:node:36149
ls:fr:node:27970	ls:fr:lf:3	ls:fr:node:36139
ls:fr:node:27971	ls:fr:lf:3	ls:fr:node:50838
ls:fr:node:27972	ls:fr:lf:21	ls:fr:node:36780
ls:fr:node:27972	ls:fr:lf:9	ls:fr:node:36680
ls:fr:node:27973	ls:fr:lf:10	ls:fr:node:36872
ls:fr:node:27973	ls:fr:lf:161	ls:fr:node:39988
ls:fr:node:27973	ls:fr:lf:161	ls:fr:node:36873
ls:fr:node:27973	ls:fr:lf:3	ls:fr:node:55508
ls:fr:node:27974	ls:fr:lf:29	ls:fr:node:36878
ls:fr:node:27974	ls:fr:lf:366	ls:fr:node:36879
ls:fr:node:27974	ls:fr:lf:3	ls:fr:node:52607
ls:fr:node:27974	ls:fr:lf:3	ls:fr:node:47484
ls:fr:node:27974	ls:fr:lf:3	ls:fr:node:44456
ls:fr:node:27974	ls:fr:lf:3	ls:fr:node:43896
ls:fr:node:27974	ls:fr:lf:3	ls:fr:node:47423
ls:fr:node:27974	ls:fr:lf:3	ls:fr:node:40198
ls:fr:node:27975	ls:fr:lf:107	ls:fr:node:36889
ls:fr:node:27975	ls:fr:lf:161	ls:fr:node:39988
ls:fr:node:27975	ls:fr:lf:161	ls:fr:node:36893
ls:fr:node:27976	ls:fr:lf:10	ls:fr:node:26410
ls:fr:node:27976	ls:fr:lf:69	ls:fr:node:36899
ls:fr:node:27976	ls:fr:lf:330	ls:fr:node:36900
ls:fr:node:27976	ls:fr:lf:40	ls:fr:node:36903
ls:fr:node:27977	ls:fr:lf:10	ls:fr:node:27088
ls:fr:node:27977	ls:fr:lf:9	ls:fr:node:44382
ls:fr:node:27977	ls:fr:lf:3	ls:fr:node:53639
ls:fr:node:27977	ls:fr:lf:3	ls:fr:node:53635
ls:fr:node:27977	ls:fr:lf:3	ls:fr:node:34974
ls:fr:node:27977	ls:fr:lf:3	ls:fr:node:48333
ls:fr:node:27978	ls:fr:lf:10	ls:fr:node:27474
ls:fr:node:27978	ls:fr:lf:29	ls:fr:node:50833
ls:fr:node:27979	ls:fr:lf:29	ls:fr:node:41410
ls:fr:node:27980	ls:fr:lf:2	ls:fr:node:36133
ls:fr:node:27980	ls:fr:lf:2	ls:fr:node:36134
ls:fr:node:27980	ls:fr:lf:2	ls:fr:node:51524
ls:fr:node:27980	ls:fr:lf:30	ls:fr:node:50547
ls:fr:node:27980	ls:fr:lf:30	ls:fr:node:50546
ls:fr:node:27980	ls:fr:lf:40	ls:fr:node:39144
ls:fr:node:27980	ls:fr:lf:226	ls:fr:node:40848
ls:fr:node:27980	ls:fr:lf:226	ls:fr:node:47942
ls:fr:node:27980	ls:fr:lf:524	ls:fr:node:51531
ls:fr:node:27980	ls:fr:lf:227	ls:fr:node:38560
ls:fr:node:27980	ls:fr:lf:227	ls:fr:node:38578
ls:fr:node:27981	ls:fr:lf:21	ls:fr:node:35665
ls:fr:node:27981	ls:fr:lf:161	ls:fr:node:35674
ls:fr:node:27981	ls:fr:lf:3	ls:fr:node:27044
ls:fr:node:27981	ls:fr:lf:3	ls:fr:node:52792
ls:fr:node:27982	ls:fr:lf:21	ls:fr:node:36158
ls:fr:node:27982	ls:fr:lf:13	ls:fr:node:46288
ls:fr:node:27982	ls:fr:lf:2	ls:fr:node:29549
ls:fr:node:27982	ls:fr:lf:385	ls:fr:node:36167
ls:fr:node:27983	ls:fr:lf:3	ls:fr:node:33205
ls:fr:node:27984	ls:fr:lf:3	ls:fr:node:27387
ls:fr:node:27985	ls:fr:lf:21	ls:fr:node:36182
ls:fr:node:27986	ls:fr:lf:31	ls:fr:node:36186
ls:fr:node:27986	ls:fr:lf:31	ls:fr:node:36191
ls:fr:node:27986	ls:fr:lf:40	ls:fr:node:36195
ls:fr:node:27986	ls:fr:lf:40	ls:fr:node:48134
ls:fr:node:27987	ls:fr:lf:28	ls:fr:node:38374
ls:fr:node:27988	ls:fr:lf:29	ls:fr:node:36229
ls:fr:node:27988	ls:fr:lf:3	ls:fr:node:55365
ls:fr:node:27988	ls:fr:lf:3	ls:fr:node:29363
ls:fr:node:27990	ls:fr:lf:3	ls:fr:node:50813
ls:fr:node:27991	ls:fr:lf:21	ls:fr:node:36275
ls:fr:node:27992	ls:fr:lf:10	ls:fr:node:36297
ls:fr:node:27993	ls:fr:lf:29	ls:fr:node:36305
ls:fr:node:27993	ls:fr:lf:3	ls:fr:node:27964
ls:fr:node:27993	ls:fr:lf:3	ls:fr:node:44440
ls:fr:node:27994	ls:fr:lf:21	ls:fr:node:36307
ls:fr:node:27994	ls:fr:lf:109	ls:fr:node:36308
ls:fr:node:27994	ls:fr:lf:31	ls:fr:node:36312
ls:fr:node:27994	ls:fr:lf:31	ls:fr:node:36314
ls:fr:node:27994	ls:fr:lf:3	ls:fr:node:26961
ls:fr:node:27995	ls:fr:lf:29	ls:fr:node:36325
ls:fr:node:27996	ls:fr:lf:29	ls:fr:node:36342
ls:fr:node:27997	ls:fr:lf:21	ls:fr:node:34588
ls:fr:node:27997	ls:fr:lf:40	ls:fr:node:36352
ls:fr:node:27997	ls:fr:lf:40	ls:fr:node:36353
ls:fr:node:27997	ls:fr:lf:3	ls:fr:node:45210
ls:fr:node:27998	ls:fr:lf:3	ls:fr:node:27854
ls:fr:node:27998	ls:fr:lf:611	ls:fr:node:50727
ls:fr:node:27999	ls:fr:lf:3	ls:fr:node:27294
ls:fr:node:27999	ls:fr:lf:3	ls:fr:node:53093
ls:fr:node:28000	ls:fr:lf:28	ls:fr:node:36377
ls:fr:node:28000	ls:fr:lf:28	ls:fr:node:49536
ls:fr:node:28000	ls:fr:lf:31	ls:fr:node:28457
ls:fr:node:28000	ls:fr:lf:31	ls:fr:node:48126
ls:fr:node:28000	ls:fr:lf:104	ls:fr:node:49537
ls:fr:node:28001	ls:fr:lf:29	ls:fr:node:36382
ls:fr:node:28002	ls:fr:lf:3	ls:fr:node:36808
ls:fr:node:28003	ls:fr:lf:3	ls:fr:node:35031
ls:fr:node:28004	ls:fr:lf:21	ls:fr:node:36437
ls:fr:node:28005	ls:fr:lf:3	ls:fr:node:40618
ls:fr:node:28005	ls:fr:lf:3	ls:fr:node:40552
ls:fr:node:28006	ls:fr:lf:3	ls:fr:node:29329
ls:fr:node:28006	ls:fr:lf:3	ls:fr:node:33194
ls:fr:node:28006	ls:fr:lf:3	ls:fr:node:33201
ls:fr:node:28006	ls:fr:lf:3	ls:fr:node:33192
ls:fr:node:28006	ls:fr:lf:3	ls:fr:node:33185
ls:fr:node:28006	ls:fr:lf:3	ls:fr:node:33175
ls:fr:node:28006	ls:fr:lf:3	ls:fr:node:33169
ls:fr:node:28006	ls:fr:lf:3	ls:fr:node:33156
ls:fr:node:28006	ls:fr:lf:3	ls:fr:node:33168
ls:fr:node:28006	ls:fr:lf:3	ls:fr:node:33204
ls:fr:node:28006	ls:fr:lf:3	ls:fr:node:33216
ls:fr:node:28006	ls:fr:lf:3	ls:fr:node:33220
ls:fr:node:28006	ls:fr:lf:3	ls:fr:node:33235
ls:fr:node:28006	ls:fr:lf:13	ls:fr:node:29466
ls:fr:node:28006	ls:fr:lf:30	ls:fr:node:28007
ls:fr:node:28006	ls:fr:lf:30	ls:fr:node:33128
ls:fr:node:28006	ls:fr:lf:30	ls:fr:node:33129
ls:fr:node:28006	ls:fr:lf:126	ls:fr:node:35977
ls:fr:node:28006	ls:fr:lf:126	ls:fr:node:28422
ls:fr:node:28006	ls:fr:lf:138	ls:fr:node:42048
ls:fr:node:28006	ls:fr:lf:138	ls:fr:node:42045
ls:fr:node:28006	ls:fr:lf:138	ls:fr:node:42047
ls:fr:node:28006	ls:fr:lf:366	ls:fr:node:42034
ls:fr:node:28006	ls:fr:lf:366	ls:fr:node:40330
ls:fr:node:28007	ls:fr:lf:387	ls:fr:node:33129
ls:fr:node:28007	ls:fr:lf:387	ls:fr:node:33128
ls:fr:node:28007	ls:fr:lf:104	ls:fr:node:33148
ls:fr:node:28007	ls:fr:lf:3	ls:fr:node:26259
ls:fr:node:28007	ls:fr:lf:3	ls:fr:node:41835
ls:fr:node:28008	ls:fr:lf:21	ls:fr:node:36254
ls:fr:node:28008	ls:fr:lf:104	ls:fr:node:36257
ls:fr:node:28008	ls:fr:lf:3	ls:fr:node:39389
ls:fr:node:28008	ls:fr:lf:3	ls:fr:node:42459
ls:fr:node:28009	ls:fr:lf:20	ls:fr:node:39295
ls:fr:node:28010	ls:fr:lf:10	ls:fr:node:29668
ls:fr:node:28010	ls:fr:lf:13	ls:fr:node:28653
ls:fr:node:28011	ls:fr:lf:2	ls:fr:node:34174
ls:fr:node:28011	ls:fr:lf:2	ls:fr:node:34175
ls:fr:node:28011	ls:fr:lf:2	ls:fr:node:33436
ls:fr:node:28011	ls:fr:lf:2	ls:fr:node:34177
ls:fr:node:28011	ls:fr:lf:20	ls:fr:node:28306
ls:fr:node:28011	ls:fr:lf:342	ls:fr:node:33877
ls:fr:node:28011	ls:fr:lf:145	ls:fr:node:41070
ls:fr:node:28011	ls:fr:lf:158	ls:fr:node:26523
ls:fr:node:28011	ls:fr:lf:158	ls:fr:node:41071
ls:fr:node:28011	ls:fr:lf:158	ls:fr:node:41072
ls:fr:node:28011	ls:fr:lf:158	ls:fr:node:41073
ls:fr:node:28011	ls:fr:lf:158	ls:fr:node:26232
ls:fr:node:28011	ls:fr:lf:158	ls:fr:node:28032
ls:fr:node:28011	ls:fr:lf:158	ls:fr:node:42882
ls:fr:node:28011	ls:fr:lf:158	ls:fr:node:42884
ls:fr:node:28011	ls:fr:lf:158	ls:fr:node:26479
ls:fr:node:28011	ls:fr:lf:160	ls:fr:node:27491
ls:fr:node:28011	ls:fr:lf:160	ls:fr:node:28282
ls:fr:node:28011	ls:fr:lf:441	ls:fr:node:38649
ls:fr:node:28011	ls:fr:lf:441	ls:fr:node:35894
ls:fr:node:28011	ls:fr:lf:441	ls:fr:node:41523
ls:fr:node:28011	ls:fr:lf:441	ls:fr:node:42386
ls:fr:node:28011	ls:fr:lf:442	ls:fr:node:41075
ls:fr:node:28011	ls:fr:lf:442	ls:fr:node:27547
ls:fr:node:28011	ls:fr:lf:442	ls:fr:node:42707
ls:fr:node:28011	ls:fr:lf:442	ls:fr:node:28200
ls:fr:node:28011	ls:fr:lf:442	ls:fr:node:42842
ls:fr:node:28011	ls:fr:lf:442	ls:fr:node:42843
ls:fr:node:28011	ls:fr:lf:444	ls:fr:node:38653
ls:fr:node:28011	ls:fr:lf:444	ls:fr:node:28757
ls:fr:node:28011	ls:fr:lf:181	ls:fr:node:41387
ls:fr:node:28011	ls:fr:lf:106	ls:fr:node:41457
ls:fr:node:28011	ls:fr:lf:163	ls:fr:node:39988
ls:fr:node:28011	ls:fr:lf:16	ls:fr:node:26563
ls:fr:node:28011	ls:fr:lf:16	ls:fr:node:29625
ls:fr:node:28011	ls:fr:lf:16	ls:fr:node:26916
ls:fr:node:28011	ls:fr:lf:16	ls:fr:node:38477
ls:fr:node:28011	ls:fr:lf:100	ls:fr:node:28615
ls:fr:node:28011	ls:fr:lf:165	ls:fr:node:44955
ls:fr:node:28011	ls:fr:lf:165	ls:fr:node:29536
ls:fr:node:28011	ls:fr:lf:165	ls:fr:node:26993
ls:fr:node:28011	ls:fr:lf:78	ls:fr:node:26743
ls:fr:node:28011	ls:fr:lf:78	ls:fr:node:28401
ls:fr:node:28011	ls:fr:lf:78	ls:fr:node:27683
ls:fr:node:28011	ls:fr:lf:78	ls:fr:node:26984
ls:fr:node:28011	ls:fr:lf:78	ls:fr:node:28777
ls:fr:node:28011	ls:fr:lf:208	ls:fr:node:41386
ls:fr:node:28011	ls:fr:lf:208	ls:fr:node:42815
ls:fr:node:28011	ls:fr:lf:208	ls:fr:node:42827
ls:fr:node:28011	ls:fr:lf:633	ls:fr:node:35651
ls:fr:node:28011	ls:fr:lf:633	ls:fr:node:35649
ls:fr:node:28011	ls:fr:lf:633	ls:fr:node:42206
ls:fr:node:28011	ls:fr:lf:633	ls:fr:node:42205
ls:fr:node:28011	ls:fr:lf:633	ls:fr:node:37709
ls:fr:node:28011	ls:fr:lf:237	ls:fr:node:42209
ls:fr:node:28011	ls:fr:lf:237	ls:fr:node:37709
ls:fr:node:28011	ls:fr:lf:241	ls:fr:node:32832
ls:fr:node:28011	ls:fr:lf:241	ls:fr:node:29536
ls:fr:node:28011	ls:fr:lf:128	ls:fr:node:47385
ls:fr:node:28011	ls:fr:lf:128	ls:fr:node:42216
ls:fr:node:28011	ls:fr:lf:128	ls:fr:node:42218
ls:fr:node:28011	ls:fr:lf:653	ls:fr:node:42212
ls:fr:node:28011	ls:fr:lf:15	ls:fr:node:42367
ls:fr:node:28011	ls:fr:lf:439	ls:fr:node:27758
ls:fr:node:28011	ls:fr:lf:439	ls:fr:node:27352
ls:fr:node:28011	ls:fr:lf:439	ls:fr:node:42218
ls:fr:node:28011	ls:fr:lf:439	ls:fr:node:27311
ls:fr:node:28011	ls:fr:lf:439	ls:fr:node:42216
ls:fr:node:28011	ls:fr:lf:426	ls:fr:node:27547
ls:fr:node:28011	ls:fr:lf:426	ls:fr:node:39475
ls:fr:node:28011	ls:fr:lf:155	ls:fr:node:42744
ls:fr:node:28011	ls:fr:lf:177	ls:fr:node:42751
ls:fr:node:28011	ls:fr:lf:569	ls:fr:node:42751
ls:fr:node:28011	ls:fr:lf:304	ls:fr:node:29483
ls:fr:node:28011	ls:fr:lf:304	ls:fr:node:28883
ls:fr:node:28011	ls:fr:lf:304	ls:fr:node:29533
ls:fr:node:28011	ls:fr:lf:418	ls:fr:node:41070
ls:fr:node:28011	ls:fr:lf:418	ls:fr:node:41072
ls:fr:node:28011	ls:fr:lf:226	ls:fr:node:42902
ls:fr:node:28011	ls:fr:lf:226	ls:fr:node:32832
ls:fr:node:28011	ls:fr:lf:227	ls:fr:node:42111
ls:fr:node:28011	ls:fr:lf:227	ls:fr:node:28250
ls:fr:node:28011	ls:fr:lf:227	ls:fr:node:26940
ls:fr:node:28011	ls:fr:lf:227	ls:fr:node:41464
ls:fr:node:28011	ls:fr:lf:557	ls:fr:node:42818
ls:fr:node:28011	ls:fr:lf:557	ls:fr:node:42828
ls:fr:node:28011	ls:fr:lf:557	ls:fr:node:27421
ls:fr:node:28012	ls:fr:lf:40	ls:fr:node:28874
ls:fr:node:28012	ls:fr:lf:74	ls:fr:node:29695
ls:fr:node:28012	ls:fr:lf:20	ls:fr:node:26715
ls:fr:node:28013	ls:fr:lf:20	ls:fr:node:28398
ls:fr:node:28014	ls:fr:lf:28	ls:fr:node:36196
ls:fr:node:28014	ls:fr:lf:30	ls:fr:node:36189
ls:fr:node:28014	ls:fr:lf:30	ls:fr:node:36194
ls:fr:node:28014	ls:fr:lf:5	ls:fr:node:40445
ls:fr:node:28015	ls:fr:lf:21	ls:fr:node:36199
ls:fr:node:28016	ls:fr:lf:21	ls:fr:node:34202
ls:fr:node:28016	ls:fr:lf:419	ls:fr:node:34212
ls:fr:node:28016	ls:fr:lf:167	ls:fr:node:28017
ls:fr:node:28016	ls:fr:lf:5	ls:fr:node:56080
ls:fr:node:28016	ls:fr:lf:20	ls:fr:node:45358
ls:fr:node:28017	ls:fr:lf:3	ls:fr:node:50583
ls:fr:node:28018	ls:fr:lf:31	ls:fr:node:36207
ls:fr:node:28018	ls:fr:lf:31	ls:fr:node:36206
ls:fr:node:28018	ls:fr:lf:28	ls:fr:node:36209
ls:fr:node:28018	ls:fr:lf:28	ls:fr:node:36210
ls:fr:node:28018	ls:fr:lf:28	ls:fr:node:36211
ls:fr:node:28019	ls:fr:lf:16	ls:fr:node:29736
ls:fr:node:28020	ls:fr:lf:3	ls:fr:node:34459
ls:fr:node:28021	ls:fr:lf:2	ls:fr:node:29997
ls:fr:node:28021	ls:fr:lf:21	ls:fr:node:36264
ls:fr:node:28021	ls:fr:lf:21	ls:fr:node:36265
ls:fr:node:28022	ls:fr:lf:31	ls:fr:node:36269
ls:fr:node:28022	ls:fr:lf:31	ls:fr:node:36270
ls:fr:node:28023	ls:fr:lf:20	ls:fr:node:42037
ls:fr:node:28023	ls:fr:lf:40	ls:fr:node:29374
ls:fr:node:28024	ls:fr:lf:13	ls:fr:node:33616
ls:fr:node:28024	ls:fr:lf:13	ls:fr:node:33615
ls:fr:node:28024	ls:fr:lf:366	ls:fr:node:28026
ls:fr:node:28024	ls:fr:lf:594	ls:fr:node:34529
ls:fr:node:28024	ls:fr:lf:594	ls:fr:node:34556
ls:fr:node:28025	ls:fr:lf:31	ls:fr:node:35016
ls:fr:node:28025	ls:fr:lf:31	ls:fr:node:35023
ls:fr:node:28026	ls:fr:lf:16	ls:fr:node:34621
ls:fr:node:28026	ls:fr:lf:31	ls:fr:node:34529
ls:fr:node:28026	ls:fr:lf:31	ls:fr:node:34556
ls:fr:node:28027	ls:fr:lf:31	ls:fr:node:33289
ls:fr:node:28027	ls:fr:lf:31	ls:fr:node:33290
ls:fr:node:28027	ls:fr:lf:168	ls:fr:node:39134
ls:fr:node:28027	ls:fr:lf:738	ls:fr:node:39118
ls:fr:node:28027	ls:fr:lf:74	ls:fr:node:39788
ls:fr:node:28027	ls:fr:lf:3	ls:fr:node:39801
ls:fr:node:28027	ls:fr:lf:4	ls:fr:node:39803
ls:fr:node:28027	ls:fr:lf:62	ls:fr:node:33164
ls:fr:node:28027	ls:fr:lf:23	ls:fr:node:33288
ls:fr:node:28028	ls:fr:lf:3	ls:fr:node:26526
ls:fr:node:28028	ls:fr:lf:3	ls:fr:node:52881
ls:fr:node:28028	ls:fr:lf:3	ls:fr:node:30883
ls:fr:node:28028	ls:fr:lf:104	ls:fr:node:52551
ls:fr:node:28028	ls:fr:lf:13	ls:fr:node:29721
ls:fr:node:28028	ls:fr:lf:13	ls:fr:node:53542
ls:fr:node:28029	ls:fr:lf:10	ls:fr:node:36293
ls:fr:node:28029	ls:fr:lf:21	ls:fr:node:36292
ls:fr:node:28029	ls:fr:lf:495	ls:fr:node:28030
ls:fr:node:28030	ls:fr:lf:3	ls:fr:node:32407
ls:fr:node:28032	ls:fr:lf:126	ls:fr:node:48866
ls:fr:node:28032	ls:fr:lf:126	ls:fr:node:26479
ls:fr:node:28033	ls:fr:lf:28	ls:fr:node:33883
ls:fr:node:28033	ls:fr:lf:342	ls:fr:node:33887
ls:fr:node:28033	ls:fr:lf:342	ls:fr:node:33882
ls:fr:node:28034	ls:fr:lf:31	ls:fr:node:36269
ls:fr:node:28034	ls:fr:lf:31	ls:fr:node:36270
ls:fr:node:28034	ls:fr:lf:109	ls:fr:node:36271
ls:fr:node:28034	ls:fr:lf:21	ls:fr:node:50895
ls:fr:node:28035	ls:fr:lf:2	ls:fr:node:36148
ls:fr:node:28036	ls:fr:lf:16	ls:fr:node:50690
ls:fr:node:28037	ls:fr:lf:3	ls:fr:node:26652
ls:fr:node:28038	ls:fr:lf:387	ls:fr:node:35550
ls:fr:node:28038	ls:fr:lf:5	ls:fr:node:42271
ls:fr:node:28038	ls:fr:lf:5	ls:fr:node:42273
ls:fr:node:28038	ls:fr:lf:5	ls:fr:node:38014
ls:fr:node:28038	ls:fr:lf:160	ls:fr:node:28282
ls:fr:node:28038	ls:fr:lf:160	ls:fr:node:42277
ls:fr:node:28038	ls:fr:lf:160	ls:fr:node:42279
ls:fr:node:28038	ls:fr:lf:160	ls:fr:node:42278
ls:fr:node:28038	ls:fr:lf:160	ls:fr:node:42274
ls:fr:node:28038	ls:fr:lf:160	ls:fr:node:42280
ls:fr:node:28038	ls:fr:lf:20	ls:fr:node:28338
ls:fr:node:28038	ls:fr:lf:20	ls:fr:node:28980
ls:fr:node:28038	ls:fr:lf:158	ls:fr:node:35905
ls:fr:node:28038	ls:fr:lf:158	ls:fr:node:42283
ls:fr:node:28038	ls:fr:lf:158	ls:fr:node:42284
ls:fr:node:28038	ls:fr:lf:158	ls:fr:node:35454
ls:fr:node:28038	ls:fr:lf:145	ls:fr:node:27828
ls:fr:node:28038	ls:fr:lf:145	ls:fr:node:28531
ls:fr:node:28038	ls:fr:lf:28	ls:fr:node:42286
ls:fr:node:28038	ls:fr:lf:100	ls:fr:node:27376
ls:fr:node:28038	ls:fr:lf:100	ls:fr:node:27763
ls:fr:node:28038	ls:fr:lf:100	ls:fr:node:39738
ls:fr:node:28038	ls:fr:lf:100	ls:fr:node:42288
ls:fr:node:28038	ls:fr:lf:100	ls:fr:node:51396
ls:fr:node:28038	ls:fr:lf:551	ls:fr:node:42287
ls:fr:node:28038	ls:fr:lf:306	ls:fr:node:42293
ls:fr:node:28038	ls:fr:lf:306	ls:fr:node:34742
ls:fr:node:28038	ls:fr:lf:684	ls:fr:node:34743
ls:fr:node:28038	ls:fr:lf:684	ls:fr:node:42483
ls:fr:node:28038	ls:fr:lf:699	ls:fr:node:26359
ls:fr:node:28038	ls:fr:lf:699	ls:fr:node:29204
ls:fr:node:28039	ls:fr:lf:2	ls:fr:node:36326
ls:fr:node:28040	ls:fr:lf:30	ls:fr:node:33326
ls:fr:node:28040	ls:fr:lf:30	ls:fr:node:33327
ls:fr:node:28040	ls:fr:lf:30	ls:fr:node:33328
ls:fr:node:28040	ls:fr:lf:20	ls:fr:node:39816
ls:fr:node:28040	ls:fr:lf:20	ls:fr:node:39499
ls:fr:node:28040	ls:fr:lf:74	ls:fr:node:30835
ls:fr:node:28040	ls:fr:lf:74	ls:fr:node:26846
ls:fr:node:28040	ls:fr:lf:74	ls:fr:node:39128
