n1	t	n2
ls:fr:node:26197	ls:fr:lf:3	ls:fr:node:39595
ls:fr:node:26198	ls:fr:lf:13	ls:fr:node:28682
ls:fr:node:26200	ls:fr:lf:111	ls:fr:node:31393
ls:fr:node:26200	ls:fr:lf:21	ls:fr:node:31369
ls:fr:node:26200	ls:fr:lf:3	ls:fr:node:26255
ls:fr:node:26201	ls:fr:lf:10	ls:fr:node:29481
ls:fr:node:26201	ls:fr:lf:21	ls:fr:node:53872
ls:fr:node:26201	ls:fr:lf:61	ls:fr:node:29450
ls:fr:node:26202	ls:fr:lf:4	ls:fr:node:26390
ls:fr:node:26203	ls:fr:lf:21	ls:fr:node:52687
ls:fr:node:26203	ls:fr:lf:330	ls:fr:node:52678
ls:fr:node:26203	ls:fr:lf:3	ls:fr:node:55146
ls:fr:node:26204	ls:fr:lf:21	ls:fr:node:31411
ls:fr:node:26204	ls:fr:lf:111	ls:fr:node:31422
ls:fr:node:26204	ls:fr:lf:31	ls:fr:node:31416
ls:fr:node:26205	ls:fr:lf:21	ls:fr:node:30533
ls:fr:node:26205	ls:fr:lf:31	ls:fr:node:31475
ls:fr:node:26205	ls:fr:lf:31	ls:fr:node:31474
ls:fr:node:26205	ls:fr:lf:104	ls:fr:node:31447
ls:fr:node:26205	ls:fr:lf:112	ls:fr:node:31467
ls:fr:node:26206	ls:fr:lf:104	ls:fr:node:31487
ls:fr:node:26206	ls:fr:lf:387	ls:fr:node:31489
ls:fr:node:26206	ls:fr:lf:387	ls:fr:node:32916
ls:fr:node:26206	ls:fr:lf:28	ls:fr:node:32919
ls:fr:node:26206	ls:fr:lf:2	ls:fr:node:31485
ls:fr:node:26207	ls:fr:lf:21	ls:fr:node:31500
ls:fr:node:26207	ls:fr:lf:111	ls:fr:node:31501
ls:fr:node:26207	ls:fr:lf:104	ls:fr:node:31503
ls:fr:node:26207	ls:fr:lf:31	ls:fr:node:31504
ls:fr:node:26207	ls:fr:lf:31	ls:fr:node:31506
ls:fr:node:26207	ls:fr:lf:407	ls:fr:node:32908
ls:fr:node:26207	ls:fr:lf:407	ls:fr:node:32914
ls:fr:node:26207	ls:fr:lf:358	ls:fr:node:31507
ls:fr:node:26207	ls:fr:lf:330	ls:fr:node:31509
ls:fr:node:26208	ls:fr:lf:13	ls:fr:node:49541
ls:fr:node:26209	ls:fr:lf:21	ls:fr:node:30536
ls:fr:node:26209	ls:fr:lf:611	ls:fr:node:31516
ls:fr:node:26209	ls:fr:lf:31	ls:fr:node:49551
ls:fr:node:26209	ls:fr:lf:31	ls:fr:node:49555
ls:fr:node:26210	ls:fr:lf:5	ls:fr:node:47161
ls:fr:node:26211	ls:fr:lf:3	ls:fr:node:35179
ls:fr:node:26212	ls:fr:lf:10	ls:fr:node:31524
ls:fr:node:26212	ls:fr:lf:29	ls:fr:node:31525
ls:fr:node:26212	ls:fr:lf:3	ls:fr:node:27783
ls:fr:node:26213	ls:fr:lf:594	ls:fr:node:31526
ls:fr:node:26213	ls:fr:lf:594	ls:fr:node:31727
ls:fr:node:26213	ls:fr:lf:3	ls:fr:node:39192
ls:fr:node:26214	ls:fr:lf:28	ls:fr:node:31522
ls:fr:node:26214	ls:fr:lf:387	ls:fr:node:32548
ls:fr:node:26214	ls:fr:lf:3	ls:fr:node:27309
ls:fr:node:26215	ls:fr:lf:28	ls:fr:node:31522
ls:fr:node:26216	ls:fr:lf:28	ls:fr:node:31440
ls:fr:node:26216	ls:fr:lf:3	ls:fr:node:34721
ls:fr:node:26216	ls:fr:lf:40	ls:fr:node:26431
ls:fr:node:26217	ls:fr:lf:9	ls:fr:node:31448
ls:fr:node:26217	ls:fr:lf:104	ls:fr:node:31450
ls:fr:node:26217	ls:fr:lf:69	ls:fr:node:32064
ls:fr:node:26217	ls:fr:lf:330	ls:fr:node:32638
ls:fr:node:26217	ls:fr:lf:3	ls:fr:node:35662
ls:fr:node:26218	ls:fr:lf:3	ls:fr:node:46147
ls:fr:node:26219	ls:fr:lf:23	ls:fr:node:31452
ls:fr:node:26219	ls:fr:lf:104	ls:fr:node:31469
ls:fr:node:26219	ls:fr:lf:161	ls:fr:node:39988
ls:fr:node:26219	ls:fr:lf:161	ls:fr:node:31466
ls:fr:node:26220	ls:fr:lf:138	ls:fr:node:33608
ls:fr:node:26220	ls:fr:lf:228	ls:fr:node:26221
ls:fr:node:26221	ls:fr:lf:21	ls:fr:node:31472
ls:fr:node:26221	ls:fr:lf:30	ls:fr:node:31478
ls:fr:node:26221	ls:fr:lf:30	ls:fr:node:31476
ls:fr:node:26221	ls:fr:lf:330	ls:fr:node:33609
ls:fr:node:26221	ls:fr:lf:40	ls:fr:node:26220
ls:fr:node:26222	ls:fr:lf:21	ls:fr:node:31482
ls:fr:node:26222	ls:fr:lf:31	ls:fr:node:31499
ls:fr:node:26222	ls:fr:lf:104	ls:fr:node:33613
ls:fr:node:26222	ls:fr:lf:3	ls:fr:node:26373
ls:fr:node:26222	ls:fr:lf:3	ls:fr:node:51172
ls:fr:node:26222	ls:fr:lf:126	ls:fr:node:55788
ls:fr:node:26223	ls:fr:lf:330	ls:fr:node:31505
ls:fr:node:26223	ls:fr:lf:104	ls:fr:node:31508
ls:fr:node:26223	ls:fr:lf:9	ls:fr:node:31928
ls:fr:node:26223	ls:fr:lf:3	ls:fr:node:51426
ls:fr:node:26223	ls:fr:lf:3	ls:fr:node:48468
ls:fr:node:26224	ls:fr:lf:4	ls:fr:node:28387
ls:fr:node:26224	ls:fr:lf:3	ls:fr:node:49577
ls:fr:node:26225	ls:fr:lf:3	ls:fr:node:27950
ls:fr:node:26226	ls:fr:lf:21	ls:fr:node:31510
ls:fr:node:26227	ls:fr:lf:107	ls:fr:node:31515
ls:fr:node:26227	ls:fr:lf:353	ls:fr:node:31517
ls:fr:node:26227	ls:fr:lf:9	ls:fr:node:31933
ls:fr:node:26227	ls:fr:lf:354	ls:fr:node:33614
ls:fr:node:26227	ls:fr:lf:3	ls:fr:node:27294
ls:fr:node:26227	ls:fr:lf:3	ls:fr:node:53093
ls:fr:node:26227	ls:fr:lf:3	ls:fr:node:45452
ls:fr:node:26227	ls:fr:lf:3	ls:fr:node:40528
ls:fr:node:26227	ls:fr:lf:5	ls:fr:node:54354
ls:fr:node:26228	ls:fr:lf:104	ls:fr:node:26229
ls:fr:node:26228	ls:fr:lf:106	ls:fr:node:33616
ls:fr:node:26229	ls:fr:lf:3	ls:fr:node:49579
ls:fr:node:26230	ls:fr:lf:16	ls:fr:node:48942
ls:fr:node:26231	ls:fr:lf:104	ls:fr:node:31519
ls:fr:node:26231	ls:fr:lf:21	ls:fr:node:31521
ls:fr:node:26232	ls:fr:lf:366	ls:fr:node:31439
ls:fr:node:26232	ls:fr:lf:29	ls:fr:node:31442
ls:fr:node:26233	ls:fr:lf:104	ls:fr:node:32440
ls:fr:node:26234	ls:fr:lf:3	ls:fr:node:45430
ls:fr:node:26235	ls:fr:lf:387	ls:fr:node:36355
ls:fr:node:26235	ls:fr:lf:30	ls:fr:node:31731
ls:fr:node:26235	ls:fr:lf:30	ls:fr:node:32552
ls:fr:node:26236	ls:fr:lf:10	ls:fr:node:27080
ls:fr:node:26236	ls:fr:lf:29	ls:fr:node:31453
ls:fr:node:26237	ls:fr:lf:31	ls:fr:node:31455
ls:fr:node:26237	ls:fr:lf:31	ls:fr:node:34846
ls:fr:node:26237	ls:fr:lf:40	ls:fr:node:31456
ls:fr:node:26237	ls:fr:lf:40	ls:fr:node:31457
ls:fr:node:26237	ls:fr:lf:107	ls:fr:node:31462
ls:fr:node:26237	ls:fr:lf:109	ls:fr:node:31463
ls:fr:node:26237	ls:fr:lf:21	ls:fr:node:31459
ls:fr:node:26238	ls:fr:lf:28	ls:fr:node:31468
ls:fr:node:26238	ls:fr:lf:31	ls:fr:node:31470
ls:fr:node:26238	ls:fr:lf:31	ls:fr:node:31471
ls:fr:node:26239	ls:fr:lf:3	ls:fr:node:28554
ls:fr:node:26239	ls:fr:lf:3	ls:fr:node:47997
ls:fr:node:26240	ls:fr:lf:23	ls:fr:node:26241
ls:fr:node:26240	ls:fr:lf:30	ls:fr:node:29964
ls:fr:node:26240	ls:fr:lf:30	ls:fr:node:32453
ls:fr:node:26241	ls:fr:lf:21	ls:fr:node:26240
ls:fr:node:26241	ls:fr:lf:330	ls:fr:node:31479
ls:fr:node:26241	ls:fr:lf:30	ls:fr:node:32453
ls:fr:node:26241	ls:fr:lf:30	ls:fr:node:29964
ls:fr:node:26242	ls:fr:lf:5	ls:fr:node:33603
ls:fr:node:26242	ls:fr:lf:13	ls:fr:node:33619
ls:fr:node:26243	ls:fr:lf:37	ls:fr:node:39750
ls:fr:node:26243	ls:fr:lf:37	ls:fr:node:39751
ls:fr:node:26243	ls:fr:lf:3	ls:fr:node:27361
ls:fr:node:26244	ls:fr:lf:30	ls:fr:node:32875
ls:fr:node:26244	ls:fr:lf:30	ls:fr:node:32876
ls:fr:node:26245	ls:fr:lf:28	ls:fr:node:37145
ls:fr:node:26245	ls:fr:lf:228	ls:fr:node:41658
ls:fr:node:26245	ls:fr:lf:228	ls:fr:node:29871
ls:fr:node:26245	ls:fr:lf:228	ls:fr:node:28815
ls:fr:node:26245	ls:fr:lf:446	ls:fr:node:39722
ls:fr:node:26246	ls:fr:lf:3	ls:fr:node:48647
ls:fr:node:26246	ls:fr:lf:3	ls:fr:node:33074
ls:fr:node:26246	ls:fr:lf:3	ls:fr:node:28672
ls:fr:node:26246	ls:fr:lf:3	ls:fr:node:27862
ls:fr:node:26246	ls:fr:lf:3	ls:fr:node:48295
ls:fr:node:26246	ls:fr:lf:3	ls:fr:node:47493
ls:fr:node:26246	ls:fr:lf:3	ls:fr:node:28158
ls:fr:node:26246	ls:fr:lf:3	ls:fr:node:28941
ls:fr:node:26246	ls:fr:lf:3	ls:fr:node:29893
ls:fr:node:26246	ls:fr:lf:16	ls:fr:node:27862
ls:fr:node:26246	ls:fr:lf:16	ls:fr:node:28065
ls:fr:node:26246	ls:fr:lf:12	ls:fr:node:28526
ls:fr:node:26247	ls:fr:lf:366	ls:fr:node:31483
ls:fr:node:26247	ls:fr:lf:29	ls:fr:node:31484
ls:fr:node:26247	ls:fr:lf:3	ls:fr:node:27686
ls:fr:node:26248	ls:fr:lf:21	ls:fr:node:26292
ls:fr:node:26248	ls:fr:lf:104	ls:fr:node:26293
ls:fr:node:26248	ls:fr:lf:161	ls:fr:node:31486
ls:fr:node:26248	ls:fr:lf:31	ls:fr:node:32456
ls:fr:node:26248	ls:fr:lf:31	ls:fr:node:32454
ls:fr:node:26248	ls:fr:lf:69	ls:fr:node:48634
ls:fr:node:26248	ls:fr:lf:447	ls:fr:node:53136
ls:fr:node:26248	ls:fr:lf:447	ls:fr:node:36593
ls:fr:node:26249	ls:fr:lf:9	ls:fr:node:32245
ls:fr:node:26249	ls:fr:lf:21	ls:fr:node:31491
ls:fr:node:26249	ls:fr:lf:594	ls:fr:node:32239
ls:fr:node:26249	ls:fr:lf:594	ls:fr:node:32240
ls:fr:node:26249	ls:fr:lf:40	ls:fr:node:32244
ls:fr:node:26249	ls:fr:lf:40	ls:fr:node:32458
ls:fr:node:26249	ls:fr:lf:40	ls:fr:node:32457
ls:fr:node:26249	ls:fr:lf:40	ls:fr:node:32242
ls:fr:node:26251	ls:fr:lf:28	ls:fr:node:31532
ls:fr:node:26251	ls:fr:lf:158	ls:fr:node:30012
ls:fr:node:26251	ls:fr:lf:158	ls:fr:node:29025
ls:fr:node:26252	ls:fr:lf:2	ls:fr:node:50720
ls:fr:node:26252	ls:fr:lf:2	ls:fr:node:29528
ls:fr:node:26253	ls:fr:lf:3	ls:fr:node:53679
ls:fr:node:26253	ls:fr:lf:3	ls:fr:node:32049
ls:fr:node:26254	ls:fr:lf:21	ls:fr:node:32253
ls:fr:node:26255	ls:fr:lf:21	ls:fr:node:31542
ls:fr:node:26255	ls:fr:lf:3	ls:fr:node:26200
ls:fr:node:26255	ls:fr:lf:3	ls:fr:node:39031
ls:fr:node:26255	ls:fr:lf:111	ls:fr:node:31545
ls:fr:node:26256	ls:fr:lf:4	ls:fr:node:29408
ls:fr:node:26257	ls:fr:lf:3	ls:fr:node:48982
ls:fr:node:26258	ls:fr:lf:4	ls:fr:node:41212
