"source"	"target"	"type"	"subtype"
"ls:fr:node:29761"	"ls:fr:node:42158"	"ls:fr:cptype:5"	""
"ls:fr:node:29761"	"ls:fr:node:42159"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:29761"	"ls:fr:node:42160"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:41351"	"ls:fr:node:41482"	"ls:fr:cptype:2"	""
"ls:fr:node:27867"	"ls:fr:node:49228"	"ls:fr:cptype:1"	"ls:fr:cpstype:13"
"ls:fr:node:26488"	"ls:fr:node:39979"	"ls:fr:cptype:5"	""
"ls:fr:node:26497"	"ls:fr:node:38168"	"ls:fr:cptype:5"	""
"ls:fr:node:30539"	"ls:fr:node:30540"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:30546"	"ls:fr:node:30547"	"ls:fr:cptype:5"	""
"ls:fr:node:30546"	"ls:fr:node:30545"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:30546"	"ls:fr:node:30542"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:30542"	"ls:fr:node:30543"	"ls:fr:cptype:5"	""
"ls:fr:node:30542"	"ls:fr:node:30544"	"ls:fr:cptype:5"	""
"ls:fr:node:49230"	"ls:fr:node:44053"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:29642"	"ls:fr:node:49231"	"ls:fr:cptype:2"	""
"ls:fr:node:50425"	"ls:fr:node:49232"	"ls:fr:cptype:5"	""
"ls:fr:node:39877"	"ls:fr:node:49233"	"ls:fr:cptype:1"	"ls:fr:cpstype:2"
"ls:fr:node:53014"	"ls:fr:node:26502"	"ls:fr:cptype:5"	""
"ls:fr:node:49242"	"ls:fr:node:46081"	"ls:fr:cptype:2"	""
"ls:fr:node:40014"	"ls:fr:node:39937"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:40014"	"ls:fr:node:39660"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:27664"	"ls:fr:node:34601"	"ls:fr:cptype:5"	""
"ls:fr:node:43672"	"ls:fr:node:49250"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:50812"	"ls:fr:node:36129"	"ls:fr:cptype:5"	""
"ls:fr:node:41135"	"ls:fr:node:41138"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:40661"	"ls:fr:node:40663"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:26509"	"ls:fr:node:30328"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:46167"	"ls:fr:node:34157"	"ls:fr:cptype:7"	""
"ls:fr:node:46167"	"ls:fr:node:26512"	"ls:fr:cptype:2"	""
"ls:fr:node:26512"	"ls:fr:node:31770"	"ls:fr:cptype:7"	""
"ls:fr:node:28642"	"ls:fr:node:30044"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:30638"	"ls:fr:node:30639"	"ls:fr:cptype:5"	""
"ls:fr:node:28852"	"ls:fr:node:49264"	"ls:fr:cptype:1"	"ls:fr:cpstype:2"
"ls:fr:node:28852"	"ls:fr:node:35219"	"ls:fr:cptype:5"	""
"ls:fr:node:28852"	"ls:fr:node:44402"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:26513"	"ls:fr:node:30329"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:30579"	"ls:fr:node:30580"	"ls:fr:cptype:5"	""
"ls:fr:node:35100"	"ls:fr:node:31774"	"ls:fr:cptype:5"	""
"ls:fr:node:30334"	"ls:fr:node:44373"	"ls:fr:cptype:2"	""
"ls:fr:node:26517"	"ls:fr:node:30334"	"ls:fr:cptype:2"	""
"ls:fr:node:27584"	"ls:fr:node:49261"	"ls:fr:cptype:2"	""
"ls:fr:node:49271"	"ls:fr:node:40863"	"ls:fr:cptype:5"	""
"ls:fr:node:26520"	"ls:fr:node:30335"	"ls:fr:cptype:2"	""
"ls:fr:node:30335"	"ls:fr:node:42267"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:26522"	"ls:fr:node:29971"	"ls:fr:cptype:5"	""
"ls:fr:node:26522"	"ls:fr:node:30336"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:26522"	"ls:fr:node:30337"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:26662"	"ls:fr:node:33126"	"ls:fr:cptype:5"	""
"ls:fr:node:28226"	"ls:fr:node:44293"	"ls:fr:cptype:2"	""
"ls:fr:node:34325"	"ls:fr:node:34326"	"ls:fr:cptype:2"	""
"ls:fr:node:26532"	"ls:fr:node:40611"	"ls:fr:cptype:5"	""
"ls:fr:node:26532"	"ls:fr:node:40103"	"ls:fr:cptype:5"	""
"ls:fr:node:26532"	"ls:fr:node:43512"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:43512"	"ls:fr:node:46197"	"ls:fr:cptype:2"	""
"ls:fr:node:45382"	"ls:fr:node:45383"	"ls:fr:cptype:2"	""
"ls:fr:node:26593"	"ls:fr:node:51540"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:49283"	"ls:fr:node:29897"	"ls:fr:cptype:5"	""
"ls:fr:node:28966"	"ls:fr:node:41737"	"ls:fr:cptype:2"	""
"ls:fr:node:41059"	"ls:fr:node:29866"	"ls:fr:cptype:5"	""
"ls:fr:node:29866"	"ls:fr:node:41057"	"ls:fr:cptype:2"	""
"ls:fr:node:41059"	"ls:fr:node:32797"	"ls:fr:cptype:5"	""
"ls:fr:node:27820"	"ls:fr:node:46113"	"ls:fr:cptype:2"	""
"ls:fr:node:46113"	"ls:fr:node:30030"	"ls:fr:cptype:5"	""
"ls:fr:node:26595"	"ls:fr:node:47123"	"ls:fr:cptype:5"	""
"ls:fr:node:26538"	"ls:fr:node:34403"	"ls:fr:cptype:5"	""
"ls:fr:node:34403"	"ls:fr:node:46017"	"ls:fr:cptype:3"	""
"ls:fr:node:49554"	"ls:fr:node:46474"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:35812"	"ls:fr:node:49290"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:28219"	"ls:fr:node:49295"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:49306"	"ls:fr:node:49307"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:28975"	"ls:fr:node:49181"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:35805"	"ls:fr:node:49310"	"ls:fr:cptype:5"	""
"ls:fr:node:35805"	"ls:fr:node:49309"	"ls:fr:cptype:2"	""
"ls:fr:node:35805"	"ls:fr:node:49285"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:35811"	"ls:fr:node:49291"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:47080"	"ls:fr:node:47079"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:30502"	"ls:fr:node:49184"	"ls:fr:cptype:5"	""
"ls:fr:node:35805"	"ls:fr:node:49312"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:26596"	"ls:fr:node:45137"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:26596"	"ls:fr:node:30083"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:49314"	"ls:fr:node:45138"	"ls:fr:cptype:2"	""
"ls:fr:node:49314"	"ls:fr:node:49315"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:39066"	"ls:fr:node:47763"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:45553"	"ls:fr:node:39706"	"ls:fr:cptype:2"	""
"ls:fr:node:45714"	"ls:fr:node:29767"	"ls:fr:cptype:5"	""
"ls:fr:node:45714"	"ls:fr:node:38993"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:45481"	"ls:fr:node:45561"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:45287"	"ls:fr:node:48519"	"ls:fr:cptype:2"	""
"ls:fr:node:47205"	"ls:fr:node:47371"	"ls:fr:cptype:2"	""
"ls:fr:node:27469"	"ls:fr:node:47136"	"ls:fr:cptype:5"	""
"ls:fr:node:27469"	"ls:fr:node:47893"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:27469"	"ls:fr:node:47280"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:27469"	"ls:fr:node:47278"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:27469"	"ls:fr:node:47277"	"ls:fr:cptype:2"	""
"ls:fr:node:27469"	"ls:fr:node:47279"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:47206"	"ls:fr:node:47369"	"ls:fr:cptype:2"	""
"ls:fr:node:44488"	"ls:fr:node:49318"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:26323"	"ls:fr:node:33672"	"ls:fr:cptype:5"	""
"ls:fr:node:26323"	"ls:fr:node:33922"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:26323"	"ls:fr:node:49320"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:52931"	"ls:fr:node:54848"	"ls:fr:cptype:5"	""
"ls:fr:node:28123"	"ls:fr:node:55272"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:40823"	"ls:fr:node:39907"	"ls:fr:cptype:2"	"ls:fr:cpstype:5"
"ls:fr:node:41195"	"ls:fr:node:45831"	"ls:fr:cptype:1"	""
"ls:fr:node:29721"	"ls:fr:node:49323"	"ls:fr:cptype:8"	""
"ls:fr:node:40652"	"ls:fr:node:40653"	"ls:fr:cptype:1"	""
"ls:fr:node:31022"	"ls:fr:node:49324"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:49324"	"ls:fr:node:49325"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:34544"	"ls:fr:node:34545"	"ls:fr:cptype:2"	""
"ls:fr:node:32816"	"ls:fr:node:49327"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:49149"	"ls:fr:node:49150"	"ls:fr:cptype:2"	""
"ls:fr:node:46988"	"ls:fr:node:46989"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:46988"	"ls:fr:node:46990"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:26606"	"ls:fr:node:30095"	"ls:fr:cptype:1"	"ls:fr:cpstype:1"
"ls:fr:node:26606"	"ls:fr:node:30095"	"ls:fr:cptype:1"	"ls:fr:cpstype:2"
"ls:fr:node:26652"	"ls:fr:node:31797"	"ls:fr:cptype:5"	""
"ls:fr:node:26608"	"ls:fr:node:30099"	"ls:fr:cptype:1"	"ls:fr:cpstype:2"
"ls:fr:node:33567"	"ls:fr:node:49016"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:33567"	"ls:fr:node:33565"	"ls:fr:cptype:5"	""
"ls:fr:node:26609"	"ls:fr:node:49338"	"ls:fr:cptype:1"	"ls:fr:cpstype:1"
"ls:fr:node:26609"	"ls:fr:node:33360"	"ls:fr:cptype:1"	"ls:fr:cpstype:2"
"ls:fr:node:28125"	"ls:fr:node:48487"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:48487"	"ls:fr:node:40017"	"ls:fr:cptype:5"	""
"ls:fr:node:40017"	"ls:fr:node:41449"	"ls:fr:cptype:5"	""
"ls:fr:node:28125"	"ls:fr:node:47350"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:28125"	"ls:fr:node:49339"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:28125"	"ls:fr:node:48488"	"ls:fr:cptype:2"	""
"ls:fr:node:49338"	"ls:fr:node:33257"	"ls:fr:cptype:2"	""
"ls:fr:node:29878"	"ls:fr:node:35144"	"ls:fr:cptype:5"	""
"ls:fr:node:34434"	"ls:fr:node:34439"	"ls:fr:cptype:2"	""
"ls:fr:node:38856"	"ls:fr:node:38857"	"ls:fr:cptype:5"	""
"ls:fr:node:26362"	"ls:fr:node:30320"	"ls:fr:cptype:5"	""
"ls:fr:node:36879"	"ls:fr:node:49347"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:27001"	"ls:fr:node:34397"	"ls:fr:cptype:5"	""
"ls:fr:node:48387"	"ls:fr:node:48388"	"ls:fr:cptype:5"	""
"ls:fr:node:48387"	"ls:fr:node:48389"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:48485"	"ls:fr:node:39670"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:26540"	"ls:fr:node:46162"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:28511"	"ls:fr:node:49354"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:35762"	"ls:fr:node:49355"	"ls:fr:cptype:2"	""
"ls:fr:node:49181"	"ls:fr:node:49356"	"ls:fr:cptype:2"	""
"ls:fr:node:28494"	"ls:fr:node:33549"	"ls:fr:cptype:5"	""
"ls:fr:node:34827"	"ls:fr:node:49360"	"ls:fr:cptype:5"	""
"ls:fr:node:49358"	"ls:fr:node:49359"	"ls:fr:cptype:5"	""
"ls:fr:node:29291"	"ls:fr:node:40552"	"ls:fr:cptype:1"	"ls:fr:cpstype:13"
"ls:fr:node:40552"	"ls:fr:node:40616"	"ls:fr:cptype:5"	""
"ls:fr:node:40616"	"ls:fr:node:40617"	"ls:fr:cptype:5"	""
"ls:fr:node:29291"	"ls:fr:node:40550"	"ls:fr:cptype:1"	"ls:fr:cpstype:13"
"ls:fr:node:40774"	"ls:fr:node:55223"	"ls:fr:cptype:4"	""
"ls:fr:node:40550"	"ls:fr:node:38829"	"ls:fr:cptype:5"	""
"ls:fr:node:29291"	"ls:fr:node:40551"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:40550"	"ls:fr:node:40558"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:29291"	"ls:fr:node:40624"	"ls:fr:cptype:1"	"ls:fr:cpstype:13"
"ls:fr:node:49428"	"ls:fr:node:36962"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:29138"	"ls:fr:node:48193"	"ls:fr:cptype:8"	""
"ls:fr:node:29138"	"ls:fr:node:48192"	"ls:fr:cptype:8"	""
"ls:fr:node:29871"	"ls:fr:node:30317"	"ls:fr:cptype:5"	""
"ls:fr:node:30317"	"ls:fr:node:30379"	"ls:fr:cptype:2"	""
"ls:fr:node:30379"	"ls:fr:node:31108"	"ls:fr:cptype:5"	""
"ls:fr:node:30379"	"ls:fr:node:31109"	"ls:fr:cptype:1"	""
"ls:fr:node:29871"	"ls:fr:node:30903"	"ls:fr:cptype:1"	""
"ls:fr:node:29871"	"ls:fr:node:30369"	"ls:fr:cptype:1"	""
"ls:fr:node:30369"	"ls:fr:node:30316"	"ls:fr:cptype:5"	""
"ls:fr:node:29871"	"ls:fr:node:30417"	"ls:fr:cptype:1"	""
"ls:fr:node:55053"	"ls:fr:node:45212"	"ls:fr:cptype:5"	""
"ls:fr:node:55053"	"ls:fr:node:38603"	"ls:fr:cptype:3"	""
"ls:fr:node:26542"	"ls:fr:node:38495"	"ls:fr:cptype:3"	""
"ls:fr:node:26542"	"ls:fr:node:45213"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:45213"	"ls:fr:node:45217"	"ls:fr:cptype:5"	""
"ls:fr:node:38602"	"ls:fr:node:28441"	"ls:fr:cptype:5"	""
"ls:fr:node:26546"	"ls:fr:node:42053"	"ls:fr:cptype:2"	""
"ls:fr:node:27697"	"ls:fr:node:49372"	"ls:fr:cptype:5"	""
"ls:fr:node:27697"	"ls:fr:node:42019"	"ls:fr:cptype:5"	""
"ls:fr:node:27697"	"ls:fr:node:47442"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:47442"	"ls:fr:node:45787"	"ls:fr:cptype:5"	""
"ls:fr:node:48991"	"ls:fr:node:49374"	"ls:fr:cptype:5"	""
"ls:fr:node:44678"	"ls:fr:node:44679"	"ls:fr:cptype:1"	"ls:fr:cpstype:1"
"ls:fr:node:43738"	"ls:fr:node:26549"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:29869"	"ls:fr:node:46054"	"ls:fr:cptype:4"	""
"ls:fr:node:31598"	"ls:fr:node:43502"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:31598"	"ls:fr:node:31605"	"ls:fr:cptype:2"	""
"ls:fr:node:26550"	"ls:fr:node:30160"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:29868"	"ls:fr:node:31324"	"ls:fr:cptype:2"	""
"ls:fr:node:32248"	"ls:fr:node:43571"	"ls:fr:cptype:1"	""
"ls:fr:node:26613"	"ls:fr:node:43592"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:49377"	"ls:fr:node:26551"	"ls:fr:cptype:5"	""
"ls:fr:node:49377"	"ls:fr:node:44114"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:26466"	"ls:fr:node:49378"	"ls:fr:cptype:5"	""
"ls:fr:node:49376"	"ls:fr:node:49379"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:33202"	"ls:fr:node:33203"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:33202"	"ls:fr:node:26555"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:29867"	"ls:fr:node:47660"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:29867"	"ls:fr:node:47656"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:40646"	"ls:fr:node:40635"	"ls:fr:cptype:5"	""
"ls:fr:node:29865"	"ls:fr:node:40524"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:29758"	"ls:fr:node:49381"	"ls:fr:cptype:1"	"ls:fr:cpstype:6"
"ls:fr:node:44786"	"ls:fr:node:49383"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:51044"	"ls:fr:node:42235"	"ls:fr:cptype:2"	""
"ls:fr:node:29864"	"ls:fr:node:48085"	"ls:fr:cptype:1"	"ls:fr:cpstype:13"
"ls:fr:node:44786"	"ls:fr:node:49382"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:26561"	"ls:fr:node:39469"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:49386"	"ls:fr:node:49387"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:44568"	"ls:fr:node:29863"	"ls:fr:cptype:4"	""
"ls:fr:node:43668"	"ls:fr:node:43669"	"ls:fr:cptype:2"	""
"ls:fr:node:29861"	"ls:fr:node:38919"	"ls:fr:cptype:5"	""
"ls:fr:node:29861"	"ls:fr:node:43065"	"ls:fr:cptype:5"	""
"ls:fr:node:31908"	"ls:fr:node:41739"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:27541"	"ls:fr:node:49398"	"ls:fr:cptype:5"	""
"ls:fr:node:29861"	"ls:fr:node:40751"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:29861"	"ls:fr:node:40750"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:26881"	"ls:fr:node:49400"	"ls:fr:cptype:2"	""
"ls:fr:node:29859"	"ls:fr:node:47541"	"ls:fr:cptype:5"	""
"ls:fr:node:26567"	"ls:fr:node:46023"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:26568"	"ls:fr:node:46110"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:46123"	"ls:fr:node:46124"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:26624"	"ls:fr:node:30116"	"ls:fr:cptype:2"	""
"ls:fr:node:31286"	"ls:fr:node:31287"	"ls:fr:cptype:1"	"ls:fr:cpstype:13"
"ls:fr:node:43275"	"ls:fr:node:55392"	"ls:fr:cptype:1"	"ls:fr:cpstype:7"
"ls:fr:node:26624"	"ls:fr:node:31288"	"ls:fr:cptype:1"	"ls:fr:cpstype:2"
"ls:fr:node:26624"	"ls:fr:node:31288"	"ls:fr:cptype:1"	"ls:fr:cpstype:6"
"ls:fr:node:26624"	"ls:fr:node:30118"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:29857"	"ls:fr:node:34710"	"ls:fr:cptype:5"	""
"ls:fr:node:29857"	"ls:fr:node:34711"	"ls:fr:cptype:5"	""
"ls:fr:node:34711"	"ls:fr:node:34713"	"ls:fr:cptype:5"	""
"ls:fr:node:29857"	"ls:fr:node:34709"	"ls:fr:cptype:5"	""
"ls:fr:node:29857"	"ls:fr:node:34770"	"ls:fr:cptype:5"	""
"ls:fr:node:26624"	"ls:fr:node:30117"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:26624"	"ls:fr:node:31284"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:29515"	"ls:fr:node:30695"	"ls:fr:cptype:2"	""
"ls:fr:node:37797"	"ls:fr:node:37800"	"ls:fr:cptype:2"	""
"ls:fr:node:28037"	"ls:fr:node:42290"	"ls:fr:cptype:5"	""
"ls:fr:node:44421"	"ls:fr:node:43808"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:47937"	"ls:fr:node:47938"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:31615"	"ls:fr:node:31616"	"ls:fr:cptype:5"	""
"ls:fr:node:26576"	"ls:fr:node:45007"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:43564"	"ls:fr:node:43565"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:37797"	"ls:fr:node:49409"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:37800"	"ls:fr:node:29856"	"ls:fr:cptype:2"	""
"ls:fr:node:26578"	"ls:fr:node:34669"	"ls:fr:cptype:6"	""
"ls:fr:node:26578"	"ls:fr:node:45828"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:34669"	"ls:fr:node:48796"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:28107"	"ls:fr:node:49412"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:26628"	"ls:fr:node:33424"	"ls:fr:cptype:1"	"ls:fr:cpstype:13"
"ls:fr:node:33424"	"ls:fr:node:33436"	"ls:fr:cptype:1"	"ls:fr:cpstype:1"
"ls:fr:node:33424"	"ls:fr:node:33436"	"ls:fr:cptype:1"	"ls:fr:cpstype:2"
"ls:fr:node:49753"	"ls:fr:node:42699"	"ls:fr:cptype:5"	""
"ls:fr:node:42220"	"ls:fr:node:40531"	"ls:fr:cptype:5"	""
"ls:fr:node:26580"	"ls:fr:node:48756"	"ls:fr:cptype:5"	""
"ls:fr:node:26580"	"ls:fr:node:48757"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:49417"	"ls:fr:node:42322"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:49417"	"ls:fr:node:45907"	"ls:fr:cptype:5"	""
"ls:fr:node:45289"	"ls:fr:node:45290"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:27840"	"ls:fr:node:49419"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:38527"	"ls:fr:node:38528"	"ls:fr:cptype:2"	""
"ls:fr:node:29373"	"ls:fr:node:49423"	"ls:fr:cptype:5"	""
"ls:fr:node:49424"	"ls:fr:node:49425"	"ls:fr:cptype:5"	""
"ls:fr:node:49422"	"ls:fr:node:42649"	"ls:fr:cptype:5"	""
"ls:fr:node:29846"	"ls:fr:node:47374"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:29846"	"ls:fr:node:49163"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:49056"	"ls:fr:node:29845"	"ls:fr:cptype:4"	""
"ls:fr:node:49427"	"ls:fr:node:48200"	"ls:fr:cptype:5"	""
"ls:fr:node:49429"	"ls:fr:node:26784"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:30267"	"ls:fr:node:47438"	"ls:fr:cptype:5"	""
"ls:fr:node:47438"	"ls:fr:node:30268"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:35840"	"ls:fr:node:35841"	"ls:fr:cptype:5"	""
"ls:fr:node:46170"	"ls:fr:node:34164"	"ls:fr:cptype:7"	""
"ls:fr:node:46170"	"ls:fr:node:26581"	"ls:fr:cptype:2"	""
"ls:fr:node:26581"	"ls:fr:node:34166"	"ls:fr:cptype:7"	""
"ls:fr:node:50195"	"ls:fr:node:46178"	"ls:fr:cptype:5"	""
"ls:fr:node:50195"	"ls:fr:node:47703"	"ls:fr:cptype:5"	""
"ls:fr:node:35101"	"ls:fr:node:47609"	"ls:fr:cptype:1"	""
"ls:fr:node:29841"	"ls:fr:node:40198"	"ls:fr:cptype:1"	""
"ls:fr:node:29844"	"ls:fr:node:48565"	"ls:fr:cptype:2"	""
"ls:fr:node:29842"	"ls:fr:node:34331"	"ls:fr:cptype:7"	""
"ls:fr:node:37569"	"ls:fr:node:29168"	"ls:fr:cptype:5"	""
"ls:fr:node:29839"	"ls:fr:node:40710"	"ls:fr:cptype:5"	""
"ls:fr:node:29839"	"ls:fr:node:40701"	"ls:fr:cptype:2"	""
"ls:fr:node:26583"	"ls:fr:node:39407"	"ls:fr:cptype:2"	""
"ls:fr:node:49236"	"ls:fr:node:49433"	"ls:fr:cptype:5"	""
"ls:fr:node:47574"	"ls:fr:node:26588"	"ls:fr:cptype:5"	""
"ls:fr:node:41478"	"ls:fr:node:32207"	"ls:fr:cptype:5"	""
"ls:fr:node:32207"	"ls:fr:node:33971"	"ls:fr:cptype:2"	""
"ls:fr:node:29835"	"ls:fr:node:45111"	"ls:fr:cptype:5"	""
"ls:fr:node:29835"	"ls:fr:node:44235"	"ls:fr:cptype:2"	""
"ls:fr:node:41478"	"ls:fr:node:39981"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:41478"	"ls:fr:node:41479"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:41479"	"ls:fr:node:41474"	"ls:fr:cptype:5"	""
"ls:fr:node:41478"	"ls:fr:node:46221"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:41247"	"ls:fr:node:41248"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:29833"	"ls:fr:node:37853"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:29833"	"ls:fr:node:48212"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:26633"	"ls:fr:node:48955"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
